RPM, Flow, Pressure
0,      0,      0
50000,  0.0175, 0.15
75000,  0.02,   0.375
100000, 0.035,  0.55
125000, 0.04,   1.0
140000, 0.075,  1.15
150000, 0.095,  1.65
160000, 0.12,   2.0
170000, 0.145,  2.35
